interesting,length,GCcontent,pis,num_gaps,max_gap_length,mean_gap_length,seg_sites_with_gaps,sd_gap_length,number_sites_1_or_more_subst,freq_sites_w_1_obs_bases,freq_sites_w_2_obs_bases,freq_sites_w_3_obs_bases,freq_sites_w_4_obs_bases
0,1864,0.3787495124472979,5.74,269,72,6.255813953488372,442,13.73922612233866,323,1422,304,19,0
0,1631,0.4205959455353547,7.36,209,86,19,352,23.983327542274026,281,1279,249,29,3
0,1216,0.45158168396682924,5.02,260,46,20,279,18.133762249829275,218,937,202,16,0
1,1727,0.4403620126944717,5.21,321,105,40.125,390,38.73144717151684,229,1337,215,14,0
1,1540,0.42183414619528165,7.47,248,62,27.555555555555557,368,21.46573496942925,284,1172,259,21,4
0,1639,0.5573957536071661,13.54,953,726,73.3076923076923,989,197.50079519476398,397,650,330,58,9
0,1142,0.6288765911476646,13.92,155,64,22.142857142857142,344,28.72529994870127,295,798,245,46,4
1,1591,0.5624079248158496,13.14,168,63,21,435,22.627416997969522,385,1156,336,43,6
0,1495,0.5788511789958315,16.12,967,849,69.07142857142857,1073,224.70954390252123,446,422,378,67,1
0,1557,0.4347654798186278,5.52,858,299,78,557,98.97171313057079,250,1e3,232,17,1
0,1084,0.4626539425281228,8.3,492,117,32.8,348,30.868846986658156,225,736,197,26,2
0,1155,0.4122232994021651,10.74,1349,470,89.93333333333334,759,144.05577623499403,345,396,294,50,1
0,1637,0.4599830616133813,14.48,533,95,21.32,746,22.382508051303514,584,891,484,93,7
0,1286,0.6252921947069097,16.72,134,78,26.8,428,30.111459612579395,375,858,306,63,6
0,1867,0.49449035812672176,7.55,333,81,30.272727272727273,418,32.567133460256855,291,1449,262,28,1
0,1617,0.4333563511329741,5.94,130,29,10.833333333333334,326,10.232153717422824,287,1291,259,25,3
0,1998,0.5770880923943924,11.21,1112,868,79.42857142857143,1192,227.95435247695275,490,806,434,52,4
0,1565,0.38980131270232543,9.97,1215,535,41.89655172413793,843,133.94117707507337,418,722,355,59,4
0,1591,0.4905593814539067,8.3,2175,834,181.25,1295,313.0724937832073,345,296,314,28,3
